"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.02315 3713 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02341 3712 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02368 3711 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02394 3710 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02420 3709 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02447 3708 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02473 3707 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02499 3706 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02526 3705 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02552 3704 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02578 3703 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02605 3702 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02631 3701 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02657 3700 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02684 3699 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02710 3698 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02736 3697 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02762 3696 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02789 3695 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02815 3694 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02841 3693 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02868 3692 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02894 3691 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02920 3690 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02947 3689 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02973 3688 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02999 3687 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03026 3686 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03052 3685 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03078 3684 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03104 3683 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03131 3682 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03157 3681 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03183 3680 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03210 3679 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03236 3678 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03262 3677 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03289 3676 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03315 3675 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03341 3674 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03368 3673 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03394 3672 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03420 3671 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03446 3670 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03473 3669 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03499 3668 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03525 3667 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03552 3666 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03578 3665 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03604 3664 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03631 3663 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03657 3662 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03683 3661 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03710 3660 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03736 3659 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03762 3658 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03788 3657 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03815 3656 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03841 3655 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03867 3654 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03894 3653 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03920 3652 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03946 3651 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03973 3650 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.03999 3649 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04025 3648 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04052 3647 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04078 3646 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04104 3645 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04130 3644 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04157 3643 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04183 3642 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04209 3641 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04236 3640 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04262 3639 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04288 3638 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04315 3637 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04341 3636 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04367 3635 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04394 3634 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04420 3633 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04446 3632 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04473 3631 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04499 3630 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04525 3629 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04551 3628 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04578 3627 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04604 3626 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04630 3625 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04657 3624 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04683 3623 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04709 3622 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04736 3621 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04762 3620 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04788 3619 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04815 3618 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04841 3617 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04867 3616 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04893 3615 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04920 3614 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04946 3613 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04972 3612 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.04999 3611 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05025 3610 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05051 3609 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05078 3608 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05104 3607 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05130 3606 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05157 3605 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05183 3604 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05209 3603 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05235 3602 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05262 3601 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05288 3600 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05314 3599 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05341 3598 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05367 3597 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05393 3596 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05420 3595 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05446 3594 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05472 3593 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05499 3592 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05525 3591 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05551 3590 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05577 3589 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05604 3588 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05630 3587 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05656 3586 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05683 3585 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05709 3584 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05735 3583 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05762 3582 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05788 3581 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05814 3580 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05841 3579 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05867 3578 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05893 3577 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05919 3576 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05946 3575 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05972 3574 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.05998 3573 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06025 3572 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06051 3571 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06077 3570 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06104 3569 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06130 3568 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06156 3567 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06183 3566 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06209 3565 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06235 3564 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06262 3563 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06288 3562 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06314 3561 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.06340 3560 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
